baseline_energy,rl_energy
543.1975269701556,380.23826887910894
683.2593975799919,478.2815783059943
656.0965578740954,459.2675905118668
292.3399428162642,204.63795997138496
289.54968184488433,202.684777291419
360.904620646948,252.63323445286358
416.6448358046223,291.6513850632356
445.0733488450895,311.55134419156263
607.8183301000072,425.472831070005
234.00825929950125,163.80578150965087
220.80362253563985,154.5625357749479
435.1463377663454,304.6024364364418
618.2982152827883,432.8087506979518
316.0612057738895,221.24284404172266
584.902688753751,409.43188212762567
355.8968827641797,249.12781793492576
731.6516652881098,512.1561657016769
737.4139665599699,516.1897765919789
378.3723225687959,264.8606257981571
337.9962523779443,236.59737666456098
446.7823832397388,312.7476682678171
344.3189511080892,241.02326577566242
603.4303059750222,422.4012141825155
695.6388107289713,486.9471675102799
603.8552785467302,422.6986949827111
694.6102683496097,486.22718784472676
438.1952973244845,306.73670812713914
293.7901824253165,205.65312769772154
642.7705684385553,449.9393979069887
416.2847030849323,291.39929215945256
602.7624951374795,421.9337465962356
362.3863651890594,253.67045563234157
248.7377808840036,174.1164466188025
795.549077292658,556.8843541048606
293.72090475835955,205.60463333085167
793.0525963780887,555.136817464662
786.3679595398684,550.4575716779078
676.2908623448238,473.40360364137666
595.6537772491986,416.957644074439
546.6842301506508,382.6789611054555
719.6609272267008,503.7626490586905
373.6637129716928,261.56459908018496
480.60872749092624,336.42610924364834
571.6339816199011,400.14378713393074
446.71428552169465,312.6999998651862
456.4918724541608,319.54431071791254
398.17080050125065,278.71956035087544
538.5390900107216,376.97736300750506
710.3447168090696,497.24130176634867
320.91702680378773,224.6419187626514
760.6598232520648,532.4618762764453
613.4525922489378,429.4168145742564
693.9639276080181,485.7747493256127
533.714415578007,373.6000909046049
667.7100208544381,467.39701459810664
209.72023840368036,146.80416688257623
691.0282548677211,483.71977840740476
224.0833154512199,156.85832081585392
733.9480258177175,513.7636180724022
795.177648343186,556.6243538402301
376.4404773060666,263.5083341142466
326.1911337714762,228.33379364003332
659.2180183148243,461.452612820377
351.8158045521519,246.27106318650632
719.3374299033221,503.53620093232547
261.70555529448603,183.1938887061402
275.57311782761496,192.90118247933046
787.4909330603693,551.2436531422585
604.3033389620027,423.0123372734019
708.1323346573718,495.6926342601602
394.5976264109108,276.21833848763754
605.8902497123627,424.12317479865385
556.5450963851583,389.58156746961083
561.8900720737681,393.32305045163764
609.5194757226329,426.66363300584305
545.2155038774591,381.65085271422134
457.4374215815996,320.2061951071197
365.5536166283281,255.88753163982963
661.1487985479212,462.80415898354477
335.7634580019117,235.03442060133818
615.4125836926485,430.7888085848539
339.99969358959595,237.99978551271715
575.1981019726724,402.6386713808706
648.2469602774174,453.7728721941922
331.2283333439235,231.85983334074643
